feature,importance_mean,importance_std
jamuna_traffic_lag_1,679213.8546526658,77986.12883510033
days_to_nearest_eid,408395.4566034861,47237.96092060057
padma_cash_lag_1,233081.97305913415,35985.82478757839
jamuna_cash_lag_1,183208.81154642307,34622.39844379366
dow_cos,128962.33858679605,22562.314519779662
padma_cash_lag_7,118970.93575739975,19183.855100287714
padma_cash_roll_mean_7,91155.57115816059,18088.79043045932
revenue_per_vehicle_roll_mean_7,63194.7451192858,13832.649477439812
eid_relative_day,56257.02924088912,17694.144933395666
padma_traffic_lag_1,49452.03390153091,11926.985831257034
revenue_per_vehicle_lag_1,19421.503987400498,3469.4749302553505
padma_traffic_change_1_7,17946.99021439846,6225.801066730255
dow_sin,17221.24912632367,6916.262390045221
doy_sin,14751.418344430485,4587.744323444229
padma_traffic_roll_std_30,13690.853287033582,7718.098006297531
padma_traffic_lag_7,13080.522952833524,6892.096074280413
jamuna_cash_roll_mean_7,12607.921052229653,2862.7063958940844
doy_cos,9187.723849358828,2993.221439695602
padma_roll7_minus_roll30,7156.043116376052,9373.311299101144
temp_min_c,4962.116665425183,2051.0241829100783
padma_traffic_roll_std_7,4290.59252063407,2132.5045318833504
jamuna_traffic_roll_mean_7,4247.215697495546,2843.3257482777312
wind_speed_kmh,3970.271411985904,1863.624033680449
temp_max_c,3870.3904238309865,2187.6530663519457
month_cos,3820.053122519019,2191.0875829187485
is_holiday,3583.043952387494,6707.2610628890525
jamuna_traffic_lag_7,3502.5752172721704,2127.4418053780605
padma_traffic_roll_mean_14,3127.448388074137,1636.2035059291693
jamuna_traffic_roll_mean_30,2569.6719954474675,1279.676887363086
humidity_pct,1492.3665086372134,1353.5273902355145
padma_traffic_roll_mean_30,1154.489729786959,1853.416376695116
jamuna_traffic_lag_14,959.1740128243963,1400.9465794845703
rainfall_mm,885.2196210931521,1728.330080593281
temp_mean_c,657.8663865529621,2192.1478088121326
month_sin,94.97468042600279,166.06854865836323
jamuna_cash_lag_7,51.48930565699314,5475.201792696522
time_index,-3.2596290111541746e-10,1.8626451492309571e-10
rail_open,-4.1909515857696534e-10,2.7152485655831643e-10
time_after_rail,-4.811833302179973e-10,2.8789100844089263e-10
heavy_rain,-28.026086628778526,74.23223851881842
padma_traffic_roll_mean_7,-107.18038657701885,3697.7105776020185
padma_cash_lag_14,-332.2729035057438,1473.1853304443482
padma_cash_roll_mean_30,-391.79883746105867,1411.6213991115003
rainy_day,-583.5029267672294,265.3082648933009
eid,-1614.8223030854947,557.8330148371581
padma_traffic_lag_14,-1980.334312900342,1832.7466501409322
weekend,-2684.341667533806,6400.414143628392
jamuna_traffic_lag_2,-9933.735473187811,4545.61835493966
padma_traffic_lag_2,-12131.621257553126,2900.200708607353
padma_traffic_lag_28,-19198.27329535568,7155.153288685688
padma_traffic_lag_3,-22188.216153140023,12402.218696775286
