feature,importance
padma_traffic_lag_1,0.18109239572786182
days_to_nearest_eid,0.13696995224514788
padma_cash_roll_mean_7,0.06439634600543251
padma_traffic_roll_mean_7,0.06203326566658946
padma_roll7_minus_roll30,0.05931090053004596
padma_traffic_lag_7,0.05790179420723116
padma_cash_lag_1,0.04491907176584085
jamuna_traffic_lag_1,0.04415119395847623
jamuna_traffic_roll_mean_7,0.028657278268376215
dow_cos,0.02845545545884256
revenue_per_vehicle_lag_1,0.023603799676079656
padma_traffic_roll_mean_14,0.020970608620065365
jamuna_cash_lag_1,0.01578586744952857
padma_traffic_lag_14,0.014940196435167788
padma_traffic_lag_2,0.014930121064128686
padma_cash_lag_7,0.014354637513658342
eid_relative_day,0.013008609624402352
revenue_per_vehicle_roll_mean_7,0.012990113129591627
padma_traffic_lag_3,0.011398373466136221
padma_traffic_change_1_7,0.010875016284360295
padma_traffic_roll_std_7,0.010115985317994246
jamuna_traffic_lag_2,0.010086481987640178
padma_traffic_lag_28,0.007637773984618443
weekend,0.007501073340146806
time_index,0.0074574317144855675
padma_traffic_roll_std_30,0.0068367992265333105
jamuna_traffic_lag_7,0.006707911973160552
dow_sin,0.006698438516939845
jamuna_cash_lag_7,0.006153644967201446
padma_cash_lag_14,0.005946087481825225
wind_speed_kmh,0.005476961247369415
is_holiday,0.005401227417909975
jamuna_cash_roll_mean_7,0.005390130707709253
padma_traffic_roll_mean_30,0.004912769054786565
doy_cos,0.004388506473995253
doy_sin,0.004251082576837545
temp_mean_c,0.003876160663204452
temp_max_c,0.003724234525709251
jamuna_traffic_lag_14,0.0036791402533417083
jamuna_traffic_roll_mean_30,0.003285816494609087
temp_min_c,0.0032587541784704177
rainfall_mm,0.003123979818423165
humidity_pct,0.003120174199189524
time_after_rail,0.003088588266617164
padma_cash_roll_mean_30,0.003014880233530849
month_sin,0.0011321636539984136
month_cos,0.0010253453534389916
eid,0.000735028900707061
heavy_rain,0.0005464141379121337
rail_open,0.0003889652000656056
rainy_day,0.00029305103466511497
