run,cv_mae,n_estimators,min_samples_leaf,max_samples,max_features,max_depth
17,1741.9201774838625,1000,1,1.0,0.35,15.0
2,1746.7549919269768,500,2,0.9,0.75,20.0
18,1747.3554400964967,500,2,1.0,0.35,20.0
24,1752.0059104289132,300,2,1.0,0.55,10.0
12,1752.1428406012442,300,2,1.0,0.35,
15,1754.277245433057,300,1,0.8,0.35,10.0
3,1754.9382048192772,500,1,1.0,0.55,
11,1758.2702486268463,300,1,1.0,0.55,20.0
7,1759.3111454136738,1000,1,0.9,0.55,10.0
21,1759.4772288643794,300,1,0.9,0.75,10.0
16,1762.5285480914335,800,4,1.0,0.75,
6,1763.2761532589197,300,1,1.0,0.75,25.0
13,1766.7861485436872,500,4,1.0,0.35,
22,1770.668538749811,500,4,0.8,0.75,15.0
14,1774.3018146866398,500,4,0.8,0.75,20.0
20,1776.8025574975927,1000,1,0.8,1.0,10.0
9,1780.0962066458378,1000,4,1.0,0.75,10.0
10,1798.920433309016,1000,6,0.8,0.75,20.0
8,1820.2621109151928,800,6,0.8,0.35,25.0
1,1828.3602388804043,800,8,0.9,1.0,25.0
19,1838.7541713808878,800,8,1.0,0.55,20.0
23,1841.4493421563998,300,8,0.8,1.0,15.0
4,1843.5930165409004,1000,8,0.8,1.0,10.0
5,1849.3122735049415,800,8,1.0,0.35,
