iter	Passed	Remaining
0	41	18794
1	80	17947
2	117	17483
3	155	17302
4	193	17224
5	230	17042
6	267	16925
7	305	16888
8	344	16856
9	380	16732
10	417	16650
11	463	16920
12	501	16874
13	539	16796
14	576	16717
15	613	16640
16	649	16543
17	685	16460
18	722	16382
19	760	16359
20	796	16263
21	832	16201
22	872	16190
23	909	16141
24	946	16095
25	994	16214
26	1043	16344
27	1089	16420
28	1134	16462
29	1171	16397
30	1206	16305
31	1243	16239
32	1282	16209
33	1327	16237
34	1368	16220
35	1405	16166
36	1444	16121
37	1484	16092
38	1522	16048
39	1561	16002
40	1598	15946
41	1641	15941
42	1690	16000
43	1737	16032
44	1784	16058
45	1825	16029
46	1865	15998
47	1903	15945
48	1941	15891
49	1981	15853
50	2019	15800
51	2060	15773
52	2104	15763
53	2144	15724
54	2182	15677
55	2221	15629
56	2257	15565
57	2295	15512
58	2334	15471
59	2373	15425
60	2409	15364
61	2446	15311
62	2483	15254
63	2520	15199
64	2561	15169
65	2598	15121
66	2635	15068
67	2673	15017
68	2709	14963
69	2745	14905
70	2781	14845
71	2816	14789
72	2852	14731
73	2887	14669
74	2923	14616
75	2959	14563
76	2996	14513
77	3031	14460
78	3067	14404
79	3105	14363
80	3141	14310
81	3177	14260
82	3215	14217
83	3252	14171
84	3292	14138
85	3331	14102
86	3371	14065
87	3410	14027
88	3449	13992
89	3485	13941
90	3523	13899
91	3561	13859
92	3599	13817
93	3636	13773
94	3674	13730
95	3711	13687
96	3748	13639
97	3786	13599
98	3825	13563
99	3864	13524
100	3903	13487
101	3941	13448
102	3981	13414
103	4019	13373
104	4058	13335
105	4105	13324
106	4144	13286
107	4187	13259
108	4224	13216
109	4262	13174
110	4298	13126
111	4338	13091
112	4374	13047
113	4414	13010
114	4451	12966
115	4490	12930
116	4528	12887
117	4567	12851
118	4607	12816
119	4643	12769
120	4679	12724
121	4716	12679
122	4754	12638
123	4793	12602
124	4832	12564
125	4871	12526
126	4908	12484
127	4945	12439
128	4981	12396
129	5021	12360
130	5060	12322
131	5097	12279
132	5133	12236
133	5170	12193
134	5207	12150
135	5244	12108
136	5280	12064
137	5317	12023
138	5354	11980
139	5392	11941
140	5438	11919
141	5480	11887
142	5518	11846
143	5556	11808
144	5595	11769
145	5631	11726
146	5667	11682
147	5704	11640
148	5740	11597
149	5776	11553
150	5813	11512
151	5852	11473
152	5892	11439
153	5932	11402
154	5969	11362
155	6010	11327
156	6047	11285
157	6082	11241
158	6120	11201
159	6155	11156
160	6200	11130
161	6239	11092
162	6280	11058
163	6323	11026
164	6364	10992
165	6401	10952
166	6438	10911
167	6476	10871
168	6514	10831
169	6552	10793
170	6591	10753
171	6630	10717
172	6666	10673
173	6703	10632
174	6741	10593
175	6779	10554
176	6817	10515
177	6855	10476
178	6893	10436
179	6930	10396
180	6966	10353
181	7001	10310
182	7038	10268
183	7076	10230
184	7118	10196
185	7160	10162
186	7198	10124
187	7235	10082
188	7271	10042
189	7310	10003
190	7349	9965
191	7386	9925
192	7422	9884
193	7458	9842
194	7495	9801
195	7533	9762
196	7573	9725
197	7610	9685
198	7647	9645
199	7701	9627
200	7766	9620
201	7811	9590
202	7848	9549
203	7887	9511
204	7925	9471
205	7963	9432
206	8001	9392
207	8039	9353
208	8075	9311
209	8113	9272
210	8150	9231
211	8187	9191
212	8224	9150
213	8262	9111
214	8300	9073
215	8343	9038
216	8381	8999
217	8420	8961
218	8457	8921
219	8496	8882
220	8534	8843
221	8573	8804
222	8610	8764
223	8650	8727
224	8690	8690
225	8729	8652
226	8769	8614
227	8811	8579
228	8850	8541
229	8889	8502
230	8927	8463
231	8966	8425
232	9005	8387
233	9044	8348
234	9081	8308
235	9119	8269
236	9160	8232
237	9201	8195
238	9236	8154
239	9271	8112
240	9308	8072
241	9348	8035
242	9386	7995
243	9428	7959
244	9468	7922
245	9506	7883
246	9545	7845
247	9583	7805
248	9619	7765
249	9654	7723
250	9690	7682
251	9725	7641
252	9763	7602
253	9800	7562
254	9836	7521
255	9875	7484
256	9913	7444
257	9950	7405
258	9986	7364
259	10025	7326
260	10062	7286
261	10099	7247
262	10138	7208
263	10177	7170
264	10214	7131
265	10252	7092
266	10289	7052
267	10326	7013
268	10366	6975
269	10408	6939
270	10446	6900
271	10492	6866
272	10530	6827
273	10568	6788
274	10607	6750
275	10647	6712
276	10684	6673
277	10720	6632
278	10756	6592
279	10792	6552
280	10830	6513
281	10868	6474
282	10904	6435
283	10942	6396
284	10978	6355
285	11014	6315
286	11052	6277
287	11092	6239
288	11132	6201
289	11172	6164
290	11212	6126
291	11256	6091
292	11301	6055
293	11344	6019
294	11390	5984
295	11438	5951
296	11480	5913
297	11521	5876
298	11562	5839
299	11602	5801
300	11639	5761
301	11681	5724
302	11723	5687
303	11763	5649
304	11804	5611
305	11843	5573
306	11882	5534
307	11922	5496
308	11963	5458
309	12005	5422
310	12045	5383
311	12084	5345
312	12123	5306
313	12161	5267
314	12199	5228
315	12236	5189
316	12273	5149
317	12311	5110
318	12349	5071
319	12387	5032
320	12423	4992
321	12460	4953
322	12497	4913
323	12538	4876
324	12576	4836
325	12613	4797
326	12650	4758
327	12689	4719
328	12726	4680
329	12763	4641
330	12799	4601
331	12836	4562
332	12874	4523
333	12912	4484
334	12957	4448
335	12997	4409
336	13033	4370
337	13071	4331
338	13108	4292
339	13143	4252
340	13188	4215
341	13226	4176
342	13262	4137
343	13300	4098
344	13338	4059
345	13380	4021
346	13417	3982
347	13454	3943
348	13491	3904
349	13531	3866
350	13572	3828
351	13619	3791
352	13660	3753
353	13699	3715
354	13736	3675
355	13778	3638
356	13815	3599
357	13855	3560
358	13896	3522
359	13933	3483
360	13971	3444
361	14006	3405
362	14045	3366
363	14082	3327
364	14120	3288
365	14161	3250
366	14197	3210
367	14233	3171
368	14270	3132
369	14309	3093
370	14346	3054
371	14384	3016
372	14426	2978
373	14467	2939
374	14508	2901
375	14551	2863
376	14595	2826
377	14635	2787
378	14674	2749
379	14713	2710
380	14751	2671
381	14789	2632
382	14830	2594
383	14869	2555
384	14906	2516
385	14950	2478
386	14991	2440
387	15032	2402
388	15071	2363
389	15111	2324
390	15149	2286
391	15187	2247
392	15224	2208
393	15262	2169
394	15301	2130
395	15345	2092
396	15389	2054
397	15425	2015
398	15461	1976
399	15499	1937
400	15535	1898
401	15571	1859
402	15610	1820
403	15647	1781
404	15684	1742
405	15721	1703
406	15759	1665
407	15797	1626
408	15832	1587
409	15867	1548
410	15904	1509
411	15943	1470
412	15983	1431
413	16026	1393
414	16065	1354
415	16105	1316
416	16145	1277
417	16184	1238
418	16221	1200
419	16260	1161
420	16301	1122
421	16340	1084
422	16379	1045
423	16418	1006
