eid_relative_day,mawa_traffic,jajira_traffic,mawa_share,n
-14,7658.25,8122.0,0.4863491818550154,8
-13,8150.75,8051.875,0.5032633045427477,8
-12,8293.75,8255.0,0.49958522902821406,8
-11,8322.25,8507.5,0.49307378445496763,8
-10,8461.25,8606.125,0.49483127474919425,8
-9,8390.25,8439.0,0.49860347806508987,8
-8,8407.125,8487.875,0.49732277003075975,8
-7,8465.75,8517.375,0.49900671202508895,8
-6,9196.125,9040.75,0.5040752978896902,8
-5,10339.5,9643.5,0.5135146118219126,8
-4,11130.5,10186.875,0.5199585653774076,8
-3,14264.625,11081.875,0.5527779646864059,8
-2,19359.0,12055.5,0.5978454377740091,8
-1,23121.25,13118.75,0.6323842315302871,8
0,16779.583333333332,12636.777777777777,0.5672842014182398,36
1,14967.363636363636,17086.727272727272,0.47217781603996817,11
2,12216.75,20715.75,0.3767068924046144,8
3,12096.5,19423.875,0.38544023575246616,8
4,11849.625,18259.5,0.39967383872017337,8
5,11745.125,17013.125,0.41316943737608613,8
6,10466.125,13293.0,0.44266251429926623,8
7,10642.75,12701.5,0.4587321581924095,8
8,10493.285714285714,12590.142857142857,0.45557927569487855,7
9,9044.125,10252.5,0.46843356810547104,8
10,9463.75,9931.75,0.48780940782497306,8
11,9138.222222222223,9414.222222222223,0.4912085839996748,9
12,8946.0,9392.0,0.48904137830134675,9
13,8584.888888888889,9190.222222222223,0.4855661096872773,9
14,9031.888888888889,8974.777777777777,0.5006313292332271,9
