iter	MAE
0	2703189.968
1	2628188.163
2	2563974.567
3	2496757.96
4	2440401.511
5	2385193.423
6	2328593.04
7	2285283.65
8	2233935.459
9	2187791.351
10	2140624.693
11	2098230.956
12	2060489.765
13	2033120.716
14	2001447.669
15	1970071.954
16	1937933.339
17	1907723.033
18	1885740.403
19	1855370.455
20	1829379.959
21	1804294.64
22	1779509.911
23	1755961.698
24	1733745.762
25	1712908.581
26	1694944.923
27	1675938.297
28	1657079.173
29	1637159.895
30	1618346.586
31	1597820.417
32	1589088.903
33	1576858.837
34	1560252.646
35	1550767.609
36	1539509.886
37	1531558.093
38	1523003.183
39	1512904.14
40	1505091.459
41	1497802.393
42	1489729.855
43	1478768.284
44	1472025.647
45	1461435.498
46	1451096.237
47	1446179.032
48	1437485.706
49	1425541.866
50	1415435.477
51	1406307.145
52	1396549.404
53	1390855.155
54	1384612.005
55	1377325.21
56	1369999.124
57	1365207.129
58	1358665.964
59	1351100.556
60	1346362.88
61	1340745.615
62	1336131.941
63	1332359.821
64	1325617.479
65	1321634.4
66	1318104.822
67	1311806.395
68	1304273.952
69	1300305.713
70	1295115.434
71	1290895.05
72	1285218.286
73	1280931.48
74	1275702.285
75	1271939.838
76	1268722.332
77	1263442.512
78	1259888.482
79	1253987.237
80	1251140.911
81	1248068.362
82	1242725.5
83	1239515.413
84	1235439.064
85	1231606.513
86	1227762.589
87	1222849.022
88	1219988.145
89	1211222.461
90	1207332.675
91	1205443.458
92	1201172.605
93	1195453.31
94	1193011.192
95	1189397.983
96	1185307.479
97	1183911.217
98	1180514.036
99	1178313.171
100	1170694.104
101	1167829.174
102	1165496.99
103	1162139.496
104	1159701.78
105	1154794.911
106	1151264.099
107	1145007.181
108	1139067.054
109	1137030.747
110	1131686.962
111	1128291.477
112	1123098.371
113	1121162.012
114	1119420.098
115	1118133.484
116	1116834.107
117	1115180.558
118	1113659.32
119	1111668.337
120	1108832.481
121	1107446.118
122	1104698.9
123	1103041.243
124	1100306.208
125	1094071.72
126	1090656.826
127	1088221.917
128	1084675.553
129	1082875.853
130	1081061.551
131	1079452.862
132	1078380.413
133	1075820.238
134	1073046.274
135	1071131.36
136	1069521.82
137	1065760.812
138	1062347.206
139	1061362.697
140	1059892.67
141	1057057.674
142	1053906.143
143	1052695.483
144	1049915.656
