iter	Passed	Remaining
0	45	17105
1	84	15975
2	119	14961
3	154	14551
4	188	14105
5	221	13836
6	256	13651
7	289	13447
8	322	13285
9	354	13109
10	388	13021
11	421	12930
12	453	12815
13	486	12708
14	518	12609
15	551	12545
16	582	12434
17	614	12357
18	653	12416
19	689	12410
20	724	12389
21	759	12356
22	798	12388
23	833	12364
24	865	12296
25	898	12233
26	935	12235
27	967	12163
28	999	12101
29	1031	12033
30	1063	11973
31	1096	11920
32	1128	11864
33	1158	11792
34	1189	11723
35	1220	11667
36	1254	11627
37	1284	11563
38	1316	11510
39	1348	11459
40	1381	11425
41	1415	11387
42	1449	11357
43	1480	11303
44	1509	11237
45	1540	11182
46	1570	11129
47	1604	11097
48	1642	11093
49	1673	11048
50	1704	10995
51	1733	10933
52	1762	10874
53	1801	10874
54	1833	10835
55	1863	10781
56	1893	10730
57	1924	10685
58	1955	10638
59	1987	10601
60	2018	10557
61	2052	10529
62	2085	10495
63	2121	10475
64	2155	10448
65	2187	10408
66	2221	10376
67	2253	10341
68	2285	10299
69	2315	10253
70	2345	10206
71	2375	10160
72	2403	10106
73	2437	10078
74	2467	10033
75	2500	10000
76	2531	9962
77	2562	9920
78	2592	9879
79	2623	9838
80	2655	9803
81	2686	9762
82	2717	9722
83	2748	9686
84	2781	9653
85	2815	9624
86	2850	9599
87	2884	9570
88	2915	9532
89	2948	9500
90	2984	9476
91	3022	9462
92	3062	9451
93	3097	9425
94	3130	9391
95	3164	9360
96	3194	9320
97	3227	9288
98	3262	9261
99	3297	9232
100	3328	9195
101	3361	9161
102	3392	9123
103	3424	9087
104	3453	9045
105	3486	9011
106	3517	8975
107	3550	8942
108	3581	8905
109	3613	8869
110	3646	8836
111	3682	8810
112	3715	8778
113	3750	8751
114	3784	8719
115	3818	8690
116	3853	8661
117	3891	8640
118	3925	8609
119	3961	8583
120	3999	8560
121	4039	8542
122	4073	8510
123	4103	8470
124	4136	8437
125	4165	8396
126	4197	8362
127	4231	8331
128	4265	8299
129	4297	8263
130	4331	8233
131	4365	8201
132	4397	8167
133	4432	8137
134	4468	8108
135	4501	8076
136	4539	8051
137	4571	8016
138	4604	7983
139	4640	7955
140	4679	7931
141	4719	7909
142	4754	7880
143	4789	7850
144	4829	7826
145	4868	7802
146	4904	7774
147	4938	7740
148	4970	7705
149	5003	7671
150	5037	7639
151	5069	7604
152	5100	7567
153	5135	7536
154	5172	7508
155	5205	7474
156	5240	7443
157	5275	7412
158	5315	7388
159	5355	7363
160	5392	7334
161	5430	7307
162	5465	7276
163	5508	7254
164	5545	7225
165	5584	7199
166	5627	7177
167	5663	7147
168	5700	7117
169	5738	7088
170	5787	7074
171	5834	7055
172	5874	7029
173	5911	6998
174	5949	6969
175	5985	6937
176	6020	6905
177	6053	6869
178	6089	6837
179	6125	6805
180	6159	6771
181	6201	6746
182	6239	6716
183	6275	6684
184	6308	6649
185	6342	6615
186	6377	6582
187	6411	6547
188	6443	6511
189	6478	6478
190	6512	6444
191	6546	6410
192	6580	6376
193	6614	6342
194	6646	6305
195	6680	6271
196	6709	6232
197	6747	6202
198	6782	6169
199	6824	6141
200	6866	6114
201	6907	6087
202	6944	6054
203	6980	6022
204	7017	5990
205	7057	5960
206	7093	5928
207	7131	5897
208	7173	5868
209	7217	5842
210	7260	5815
211	7303	5787
212	7341	5756
213	7377	5722
214	7417	5692
215	7451	5657
216	7505	5638
217	7543	5605
218	7576	5569
219	7616	5539
220	7656	5508
221	7694	5476
222	7740	5449
223	7791	5426
224	7834	5397
225	7873	5365
226	7910	5331
227	7947	5298
228	7983	5264
229	8019	5230
230	8052	5194
231	8085	5158
232	8120	5123
233	8154	5087
234	8185	5050
235	8220	5016
236	8258	4983
237	8291	4946
238	8326	4912
239	8363	4878
240	8398	4843
241	8431	4808
242	8468	4774
243	8504	4740
244	8539	4705
245	8573	4670
246	8608	4635
247	8706	4633
248	8751	4604
249	8794	4573
250	8829	4538
251	8867	4504
252	8903	4469
253	8936	4432
254	8971	4397
255	9006	4362
256	9040	4326
257	9075	4291
258	9110	4256
259	9161	4228
260	9234	4210
261	9267	4173
262	9300	4137
263	9335	4102
264	9371	4066
265	9411	4033
266	9449	3999
267	9493	3967
268	9529	3932
269	9572	3899
270	9615	3867
271	9657	3834
272	9695	3800
273	9734	3765
