target,model,period_days,MAE,RMSE,MAPE,R2,N
traffic,Random Forest,7,10947.018682440985,14838.195801292311,7.440481826259607,0.7931631754114834,224
traffic,Random Forest,30,35874.373792865,42155.17858788996,6.539043030239499,0.9186635820616555,224
traffic,XGBoost,7,9406.84485735212,12734.628246186734,6.256061719658446,0.8476514906263202,224
traffic,XGBoost,30,32094.041390555245,38727.228885151875,5.661898809312966,0.931353876122917,224
traffic,CatBoost,7,10713.393814454133,14566.479382587371,6.882528218683865,0.8006689917732085,224
traffic,CatBoost,30,41041.92728164595,50615.36056773207,6.710047954701165,0.8827405520927871,224
traffic,Residual MLP,7,15390.429834782379,20658.129877621803,10.80462331842722,0.5990892758953936,224
traffic,Residual MLP,30,55158.31076837448,72177.63851603022,9.088492638017156,0.7615548392577296,224
toll,Random Forest,7,11705323.58624355,18832770.567740582,6.389698925283928,0.6096324866813706,224
toll,Random Forest,30,40650918.88956894,47429191.37729042,5.896553530437379,0.9201187582480108,224
toll,XGBoost,7,11030636.482142856,16258926.57858923,5.998118579965673,0.7090428883654887,224
toll,XGBoost,30,34173632.071428575,40896330.464298174,4.858203732584887,0.9406088069439903,224
toll,CatBoost,7,10204152.307295233,14330760.705260517,5.440372434414396,0.7739608188070667,224
toll,CatBoost,30,37519717.77174801,45673286.77477391,5.113964654175545,0.9259239360334022,224
toll,Residual MLP,7,13257396.712956944,21298100.164035782,6.827856700914604,0.5007397759001111,224
toll,Residual MLP,30,47359545.55821972,62221050.54533801,6.275890447402538,0.8625236333993385,224
