lag_days,correlation,meaning
-14,0.20227984014077682,positive lag = Jamuna leads Padma
-13,-0.031871511097807184,positive lag = Jamuna leads Padma
-12,-0.09011356269951104,positive lag = Jamuna leads Padma
-11,0.0354734373168428,positive lag = Jamuna leads Padma
-10,0.018564461073026926,positive lag = Jamuna leads Padma
-9,-0.0863062785418751,positive lag = Jamuna leads Padma
-8,-0.032129710317387004,positive lag = Jamuna leads Padma
-7,0.21377217856296715,positive lag = Jamuna leads Padma
-6,-0.007692280913033696,positive lag = Jamuna leads Padma
-5,-0.10850555739986006,positive lag = Jamuna leads Padma
-4,-0.002513527706131985,positive lag = Jamuna leads Padma
-3,-0.06434214931207691,positive lag = Jamuna leads Padma
-2,-0.30359884808549503,positive lag = Jamuna leads Padma
-1,-0.019949387233265174,positive lag = Jamuna leads Padma
0,0.8391961630928886,positive lag = Jamuna leads Padma
1,-0.031135604127870305,positive lag = Jamuna leads Padma
2,-0.29708859844478425,positive lag = Jamuna leads Padma
3,-0.05233547677393474,positive lag = Jamuna leads Padma
4,0.0056182127900591345,positive lag = Jamuna leads Padma
5,-0.10921625959429304,positive lag = Jamuna leads Padma
6,-0.09332048031570109,positive lag = Jamuna leads Padma
7,0.24945873432473842,positive lag = Jamuna leads Padma
8,0.0500130168228153,positive lag = Jamuna leads Padma
9,-0.07979378100728073,positive lag = Jamuna leads Padma
10,0.024540090063873813,positive lag = Jamuna leads Padma
11,0.005020145823445516,positive lag = Jamuna leads Padma
12,-0.10999913133010791,positive lag = Jamuna leads Padma
13,-0.09657353899033298,positive lag = Jamuna leads Padma
14,0.21882863359459653,positive lag = Jamuna leads Padma
