run,cv_mae,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree
20,1731622.7746987953,0.85,1.0,300,5,5,0.015,0.8
6,1744869.8614457832,0.85,1.0,300,5,5,0.015,1.0
7,1787723.9710843372,0.85,10.0,1000,1,5,0.015,0.6
17,1796816.1927710841,0.7,3.0,500,5,6,0.015,1.0
12,1805838.785542169,0.85,3.0,500,3,2,0.03,0.6
10,1840399.8072289159,0.7,10.0,300,8,4,0.08,1.0
11,1868090.38313253,1.0,1.0,1000,5,3,0.05,0.6
3,1872984.269879518,1.0,10.0,800,3,4,0.08,0.8
8,1875774.3951807232,0.85,10.0,1000,5,2,0.05,0.8
2,1876994.4939759034,1.0,3.0,1000,8,2,0.03,0.6
9,1877325.5903614457,0.85,10.0,1000,5,5,0.08,0.8
4,1879206.293975904,0.85,10.0,300,1,3,0.08,0.8
13,1899949.5,0.85,1.0,300,3,5,0.03,1.0
1,1924422.4421686747,0.85,10.0,1000,3,2,0.05,1.0
5,1931141.768674699,0.85,1.0,500,8,6,0.08,0.8
14,1942183.3939759035,0.7,3.0,800,8,3,0.08,0.6
18,1975438.63373494,1.0,3.0,1000,1,5,0.03,0.6
15,1993071.8843373493,0.85,1.0,800,8,3,0.08,0.8
19,2016634.389156627,0.85,1.0,800,5,3,0.05,0.8
16,2093071.6493975904,1.0,1.0,500,1,2,0.08,0.8
