ISO_A3,NAM_1,NAM_2,date,ntl_sum,ntl_mean,ntl_median,ntl_max,ntl_q05,ntl_q95,southwest_group,post_padma
BGD,Khulna,Bagerhat,2019-01-01,1543.8543701171875,0.1530256867408752,0.0485317359203244,53.57004928588867,0.0048531735920324,0.6460111152836586,1,0
BGD,Chattogram,Bandarban,2019-01-01,241.08018493652344,0.0104220509529113,0.2543062364588047,6.085396766662598,0.0254306236458804,0.4831818492717289,0,0
BGD,Barishal,Barguna,2019-01-01,143.4890899658203,0.0226945709437131,0.2555418587465527,5.851718902587891,0.0255541858746552,0.4855295316184502,1,0
BGD,Barishal,Barisal,2019-01-01,1361.7806396484375,0.124928779900074,0.2678307799006948,15.55355167388916,0.0267830779900694,0.6068372258784391,1,0
BGD,Barishal,Bhola,2019-01-01,638.8873901367188,0.0731861069798469,0.2642319066071894,21.759721755981445,0.0264231906607189,0.5305161684406563,1,0
BGD,Rajshahi,Bogura,2019-01-01,5053.59765625,0.3374563157558441,0.3393250113294641,11.321742057800291,0.0339325011329464,1.6446888131382624,0,0
BGD,Chattogram,Brahmanbaria,2019-01-01,4996.9248046875,0.5156360268592834,0.4219774023594325,22.17167854309082,0.0421977402359432,1.7982564668817165,0,0
BGD,Chattogram,Chandpur,2019-01-01,762.2960205078125,0.1029955670237541,0.2764196692184959,15.705543518066406,0.0276419669218495,0.6856872254646214,0,0
BGD,Rajshahi,Chapainawabganj,2019-01-01,1787.5281982421875,0.2010732740163803,0.3032490344359331,9.957072257995604,0.0303249034435933,1.189470081572771,0,0
BGD,Chattogram,Chittagong,2019-01-01,22984.6015625,1.0622636079788208,0.3903659961955287,123.20594787597656,0.0390365996195528,4.41405904763732,0,0
BGD,Khulna,Chuadanga,2019-01-01,1144.0711669921875,0.1961430311203003,0.3109003112843157,10.420517921447754,0.0310900311284315,1.0522817570801664,1,0
BGD,Chattogram,Cox's Bazar,2019-01-01,2613.22509765625,0.2531428933143615,0.1400134162217656,25.604877471923828,0.0140013416221765,1.2438706617981832,0,0
BGD,Chattogram,Cumilla,2019-01-01,8974.326171875,0.5741831660270691,0.4790239212395268,31.70180892944336,0.0479023921239526,2.1987597133107624,0,0
BGD,Dhaka,Dhaka,2019-01-01,39880.57421875,5.404219150543213,1.300520723492269,161.1834259033203,0.1376132211498554,26.400007572257028,0,0
BGD,Rangpur,Dinajpur,2019-01-01,3833.10107421875,0.2146393209695816,0.3122344453152196,20.082643508911133,0.0312234445315219,1.0841009481719464,0,0
BGD,Dhaka,Faridpur,2019-01-01,2457.75537109375,0.2541192770004272,0.3218000720476587,14.971307754516602,0.0321800072047658,1.2283795745784216,1,0
BGD,Chattogram,Feni,2019-01-01,2725.689208984375,0.6044414043426514,0.5204231327345631,11.672884941101074,0.0536655427397128,2.1094293240497786,0,0
BGD,Rangpur,Gaibandha,2019-01-01,1483.1468505859375,0.132624939084053,0.2922502427823389,6.025060176849365,0.0292250242782338,0.8488740391066856,0,0
BGD,Dhaka,Gazipur,2019-01-01,17059.021484375,1.8922569751739504,0.7373378113617967,26.16140556335449,0.0720903931874817,8.924415257275866,0,0
BGD,Dhaka,Gopalganj,2019-01-01,747.3956298828125,0.1008011847734451,0.2752896018097022,7.075954437255859,0.0275289601809702,0.6956185028059757,1,0
BGD,Sylhet,Habiganj,2019-01-01,6148.92041015625,0.4645544290542602,0.328230959571245,664.6805419921875,0.0328230959571244,1.5139357538860077,0,0
BGD,Rajshahi,Jaipurhat,2019-01-01,994.8694458007812,0.1995293796062469,0.312294770384938,6.835717678070068,0.0312294770384938,1.0777586424563923,0,0
BGD,Mymensingh,Jamalpur,2019-01-01,1273.4969482421875,0.1206194385886192,0.2853835367057942,6.471013069152832,0.0285383536705794,0.8005888313302797,0,0
BGD,Khulna,Jashore,2019-01-01,3451.248291015625,0.2624828219413757,0.3089680569341395,26.390087127685547,0.0308968056934139,1.2012540896225652,1,0
BGD,Barishal,Jhalakati,2019-01-01,221.2984771728516,0.0613930486142635,0.2627570823308834,12.842671394348145,0.0262757082330883,0.4992384564286785,1,0
BGD,Khulna,Jhenaidah,2019-01-01,1428.33349609375,0.1427863985300064,0.2881219371787743,15.993658065795898,0.0288121937178774,0.8838720332978269,1,0
BGD,Chattogram,Khagrachari,2019-01-01,805.656982421875,0.0555761530995368,0.2630503638637995,7.227799892425537,0.0263050363863799,0.4997956913412191,0,0
BGD,Khulna,Khulna,2019-01-01,3528.295654296875,0.3425839841365814,0.2912441338890981,28.11739730834961,0.0291244133889098,1.7135374181078675,1,0
BGD,Dhaka,Kishoreganj,2019-01-01,2356.453857421875,0.1796676218509674,0.2992321872736465,15.287854194641112,0.0299232187273646,0.960785802405552,0,0
BGD,Rangpur,Kurigram,2019-01-01,1249.4390869140625,0.1068191230297088,0.2765186389024385,7.043783664703369,0.0276518638902438,0.7694787545221206,0,0
BGD,Khulna,Kushtia,2019-01-01,3262.050537109375,0.3886063992977142,0.3558251982172939,58.15604019165039,0.0355825198217293,1.563846992516269,1,0
BGD,Chattogram,Lakshmipur,2019-01-01,465.6194458007813,0.0764382407069206,0.2734202728305205,4.374258995056152,0.027342027283052,0.6241815548436153,0,0
BGD,Rangpur,Lalmonirhat,2019-01-01,2215.5927734375,0.3442240357398987,0.3659662032680733,6.043509483337402,0.0365966203268073,1.40039134731625,0,0
BGD,Dhaka,Madaripur,2019-01-01,817.955078125,0.1495670527219772,0.2954841363140305,4.955328464508057,0.029548413631403,0.8940108370709263,1,0
BGD,Khulna,Magura,2019-01-01,494.1743774414063,0.0929456129670143,0.2775169907689788,5.746671676635742,0.0277516990768978,0.6687680444534327,1,0
BGD,Dhaka,Manikganj,2019-01-01,2121.164794921875,0.3215077817440033,0.367881325948927,13.356988906860352,0.0367881325948927,1.3358112169512173,0,0
BGD,Khulna,Meherpur,2019-01-01,1237.717041015625,0.3360722661018371,0.3756120963802052,5.287454605102539,0.0375612096380205,1.4051451660395065,1,0
BGD,Sylhet,Moulvibazar,2019-01-01,2737.633544921875,0.1980973035097122,0.3049356934283973,38.94413757324219,0.0304935693428397,0.9854901181594028,0,0
BGD,Dhaka,Munshiganj,2019-01-01,3116.739013671875,0.7408350706100464,0.5096276926382945,61.67734146118164,0.0513123889596948,2.769292218295884,0,0
BGD,Mymensingh,Mymensingh,2019-01-01,7539.4228515625,0.3377796709537506,0.3452566208034633,31.972843170166016,0.0345256620803463,1.3512376133860131,0,0
BGD,Rajshahi,Naogaon,2019-01-01,2175.293701171875,0.1233529970049858,0.2809178769125562,8.675915718078613,0.0280917876912556,0.8422927060617521,0,0
BGD,Khulna,Narail,2019-01-01,217.94415283203125,0.0437438748776912,0.2634707995690051,3.042131185531616,0.0263470799569005,0.5005945191811095,1,0
BGD,Dhaka,Narayanganj,2019-01-01,12952.658203125,3.583822250366211,1.4996887252443605,61.67734146118164,0.2460377630689282,15.17183951318932,0,0
BGD,Dhaka,Narsingdi,2019-01-01,4520.39013671875,0.7844452857971191,0.5779922608377339,31.561431884765625,0.0634304604458912,2.7426993231040244,0,0
BGD,Rajshahi,Natore,2019-01-01,1870.5765380859373,0.1914842426776886,0.3092035529048352,6.315545558929443,0.0309203552904835,1.0168265837661796,0,0
BGD,Mymensingh,Netrakona,2019-01-01,594.6806640625,0.0411165580153465,0.2602012169735982,8.378382682800293,0.0260201216973598,0.4943823122498366,0,0
BGD,Rangpur,Nilphamari,2019-01-01,2126.695068359375,0.2479993104934692,0.3207924633215213,11.91309642791748,0.0320792463321521,1.1797756740184098,0,0
BGD,Chattogram,Noakhali,2019-01-01,2002.0238037109373,0.1610004305839538,0.2971905657633886,6.87742280960083,0.0297190565763388,0.927763150043562,0,0
BGD,Rajshahi,Pabna,2019-01-01,4553.02978515625,0.3746539950370788,0.3534007683340273,31.01405906677246,0.0353400768334027,1.671095471476976,0,0
BGD,Rangpur,Panchagarh,2019-01-01,1563.62744140625,0.2204575985670089,0.3230687749495242,6.124476909637451,0.0323068774949524,1.1363229873858331,0,0
BGD,Chattogram,Parbattya Chattagram,2019-01-01,445.1365661621094,0.0152438152581453,0.2537838159665422,4.295548439025879,0.0253783815966542,0.4821892503364303,0,0
BGD,Barishal,Patuakhali,2019-01-01,918.8077392578124,0.0797137767076492,0.1655301500810294,45.05219268798828,0.0165530150081029,0.314507285153956,1,0
BGD,Barishal,Pirojpur,2019-01-01,220.4191131591797,0.037334881722927,0.25925211328384,3.781513214111328,0.025925211328384,0.4925790152392961,1,0
BGD,Dhaka,Rajbari,2019-01-01,846.9799194335938,0.1527395099401474,0.3002321150149677,5.857205390930176,0.0300232115014967,0.9207249093937572,1,0
BGD,Rajshahi,Rajshahi,2019-01-01,3005.396484375,0.2449035942554474,0.2941179382049686,17.166276931762695,0.0294117938204968,1.0599773755244617,0,0
BGD,Rangpur,Rangpur,2019-01-01,3313.69873046875,0.2770940661430359,0.3075497043895757,17.443971633911133,0.0307549704389575,1.1587732474523835,0,0
BGD,Khulna,Satkhira,2019-01-01,751.9302368164062,0.0658322572708129,0.1971234442309843,6.0702314376831055,0.0197123444230984,0.595004187361979,1,0
BGD,Dhaka,Shariatpur,2019-01-01,560.5993041992188,0.103252463042736,0.275073585086168,10.912867546081545,0.0275073585086168,0.742934714953787,1,0
BGD,Mymensingh,Sherpur,2019-01-01,1216.70703125,0.1784437447786331,0.3064392338648398,6.589194297790527,0.0306439233864839,0.9425704768114684,0,0
BGD,Rajshahi,Sirajganj,2019-01-01,2598.77294921875,0.20370914041996,0.3080002283214999,41.41147613525391,0.0308000228321499,1.0161203863735595,0,0
BGD,Sylhet,Sunamganj,2019-01-01,706.6992797851562,0.0373028963804245,0.2576871894767966,14.51158332824707,0.0257687189476796,0.4896056600059136,0,0
BGD,Sylhet,Sylhet,2019-01-01,7562.2138671875,0.4290555119514465,0.0474596171590078,166.3121795654297,0.0047459617159007,1.4874999830442792,0,0
BGD,Dhaka,Tangail,2019-01-01,6652.24853515625,0.3861792683601379,0.4179792352697816,20.35273170471192,0.0417979235269781,1.3715951044643917,0,0
BGD,Rangpur,Thakurgaon,2019-01-01,1528.9801025390625,0.1626122742891311,0.3036856683178098,6.315906524658203,0.0303685668317809,0.888973413839427,0,0
BGD,Khulna,Bagerhat,2019-02-01,1864.694580078125,0.1845681518316269,0.1550114225741672,80.45240783691406,0.0155011422574167,0.7290168457774356,1,0
BGD,Chattogram,Bandarban,2019-02-01,331.1656188964844,0.0143165029585361,0.2540287733880915,8.063885688781738,0.0254028773388091,0.4826546694373738,0,0
BGD,Barishal,Barguna,2019-02-01,216.01199340820312,0.0341649651527404,0.2587942088718868,6.229240417480469,0.0258794208871886,0.491708996856585,1,0
BGD,Barishal,Barisal,2019-02-01,1875.557373046875,0.1715102791786193,0.2801113255389357,15.842530250549316,0.0280111325538935,0.8288162447368056,1,0
BGD,Barishal,Bhola,2019-02-01,930.7518310546876,0.1062295660376548,0.2746282899270354,24.35298156738281,0.0274628289927035,0.6996554417425636,1,0
BGD,Rajshahi,Bogura,2019-02-01,5257.685546875,0.3507096767425537,0.3394754660799097,13.404668807983398,0.0339475466079909,1.7003705085880605,0,0
BGD,Chattogram,Brahmanbaria,2019-02-01,7017.62060546875,0.7240782380104065,0.5656590703959439,43.68425369262695,0.0429615939736196,2.078017586588872,0,0
BGD,Chattogram,Chandpur,2019-02-01,1504.5467529296875,0.2026054561138153,0.0386448558788631,14.317062377929688,0.0038644855878863,0.8811998535315032,0,0
BGD,Rajshahi,Chapainawabganj,2019-02-01,1503.7376708984375,0.1691505908966064,0.2902348324240482,7.794659614562988,0.0290234832424048,1.0761470548390883,0,0
BGD,Chattogram,Chittagong,2019-02-01,27439.439453125,1.268149733543396,0.442885057387997,223.8033142089844,0.0442885057387997,4.853349661747296,0,0
