index,eid_relative_day,mean,median,count
0,-14.0,19907.777777777777,16387.0,9
1,-13.0,17363.777777777777,16697.0,9
2,-12.0,16850.0,16813.0,9
3,-11.0,16285.333333333334,16958.0,9
4,-10.0,16663.0,17546.0,9
5,-9.0,18118.666666666668,16991.0,9
6,-8.0,17667.555555555555,18004.0,9
7,-7.0,17388.0,17688.0,9
8,-6.0,19608.222222222223,19575.0,9
9,-5.0,22791.666666666668,25080.0,9
10,-4.0,24800.333333333332,22683.0,9
11,-3.0,31753.666666666668,30496.0,9
12,-2.0,38601.666666666664,36924.0,9
13,-1.0,35115.77777777778,39026.0,9
14,0.0,22414.88888888889,20815.0,9
15,1.0,25504.11111111111,26107.0,9
16,2.0,29063.11111111111,29040.0,9
17,3.0,29634.0,28492.0,9
18,4.0,30353.555555555555,29383.0,9
19,5.0,32624.0,31776.0,9
20,6.0,33343.666666666664,32136.0,9
21,7.0,28569.444444444445,27099.0,9
22,8.0,24433.555555555555,24467.0,9
23,9.0,23806.11111111111,23059.0,9
24,10.0,20289.25,20297.0,8
25,11.0,19168.11111111111,19072.0,9
26,12.0,20434.444444444445,19695.0,9
27,13.0,19631.0,19498.0,9
28,14.0,17919.88888888889,18621.0,9
