cause,target,lag,F_statistic,p_value,df_num,df_denom
jamuna_total_traffic,padma_total_traffic,1,0.040408563016656615,0.8407109546623368,1,1509.0
jamuna_total_traffic,padma_total_traffic,2,0.21972981420740942,0.8027613869239802,2,1506.0
jamuna_total_traffic,padma_total_traffic,3,0.359580297628233,0.7822152787907818,3,1503.0
jamuna_total_traffic,padma_total_traffic,4,0.5746374703958382,0.6810747496607501,4,1500.0
jamuna_total_traffic,padma_total_traffic,5,0.594192631343257,0.7044583070418029,5,1497.0
jamuna_total_traffic,padma_total_traffic,6,5.682822704557615,7.488977696899142e-06,6,1494.0
jamuna_total_traffic,padma_total_traffic,7,9.459209941425168,1.5790517206734374e-11,7,1491.0
jamuna_total_traffic,padma_total_traffic,8,8.05440209049125,1.0912139510329292e-10,8,1488.0
jamuna_total_traffic,padma_total_traffic,9,6.931377432755164,7.690121668445198e-10,9,1485.0
jamuna_total_traffic,padma_total_traffic,10,6.804216709668631,1.9101798697141492e-10,10,1482.0
jamuna_total_traffic,padma_total_traffic,11,6.339592866081018,2.514744925555637e-10,11,1479.0
jamuna_total_traffic,padma_total_traffic,12,6.090126662581836,1.6265415252256333e-10,12,1476.0
jamuna_total_traffic,padma_total_traffic,13,6.7366178509409975,1.0578667354237625e-12,13,1473.0
jamuna_total_traffic,padma_total_traffic,14,5.95483253305289,1.54253636584845e-11,14,1470.0
padma_total_traffic,jamuna_total_traffic,1,2.0487768243738693,0.15253559679097362,1,1509.0
padma_total_traffic,jamuna_total_traffic,2,14.549392362670462,5.515043234150775e-07,2,1506.0
padma_total_traffic,jamuna_total_traffic,3,12.186141576741106,7.019281971156342e-08,3,1503.0
padma_total_traffic,jamuna_total_traffic,4,11.01503088509509,8.328458920900931e-09,4,1500.0
padma_total_traffic,jamuna_total_traffic,5,8.00268624239922,1.85956570064949e-07,5,1497.0
padma_total_traffic,jamuna_total_traffic,6,8.602832469049211,3.2292425089769336e-09,6,1494.0
padma_total_traffic,jamuna_total_traffic,7,10.264846265020251,1.2888754381173892e-12,7,1491.0
padma_total_traffic,jamuna_total_traffic,8,8.163221749219453,7.463954638434734e-11,8,1488.0
padma_total_traffic,jamuna_total_traffic,9,6.829847915840756,1.1366740103793612e-09,9,1485.0
padma_total_traffic,jamuna_total_traffic,10,6.062991888722328,4.347390075508142e-09,10,1482.0
padma_total_traffic,jamuna_total_traffic,11,6.018070594492624,1.0982510703601782e-09,11,1479.0
padma_total_traffic,jamuna_total_traffic,12,5.881666912604208,4.5647048997578944e-10,12,1476.0
padma_total_traffic,jamuna_total_traffic,13,6.1091121742334735,3.0608553358678377e-11,13,1473.0
padma_total_traffic,jamuna_total_traffic,14,4.933718816909799,4.872246308213982e-09,14,1470.0
