run,cv_mae,n_estimators,min_samples_leaf,max_samples,max_features,max_depth
16,1752900.277378438,800,4,1.0,0.75,
9,1763030.9558336113,1000,4,1.0,0.75,10.0
14,1767050.7025589342,500,4,0.8,0.75,20.0
22,1767479.03763262,500,4,0.8,0.75,15.0
2,1768973.622083847,500,2,0.9,0.75,20.0
13,1774260.220054257,500,4,1.0,0.35,
24,1781200.3705308817,300,2,1.0,0.55,10.0
10,1787165.5048630137,1000,6,0.8,0.75,20.0
19,1796609.1076060678,800,8,1.0,0.55,20.0
1,1797757.202894162,800,8,0.9,1.0,25.0
18,1798579.610267473,500,2,1.0,0.35,20.0
12,1799606.5500029635,300,2,1.0,0.35,
4,1804831.243859013,1000,8,0.8,1.0,10.0
23,1805625.7713578842,300,8,0.8,1.0,15.0
8,1806241.7593244226,800,6,0.8,0.35,25.0
5,1809896.6464047781,800,8,1.0,0.35,
17,1815591.9007969077,1000,1,1.0,0.35,15.0
7,1826278.4904499645,1000,1,0.9,0.55,10.0
15,1832543.5338817064,300,1,0.8,0.35,10.0
11,1833579.222163021,300,1,1.0,0.55,20.0
21,1839036.1089959342,300,1,0.9,0.75,10.0
3,1839432.1566265058,500,1,1.0,0.55,
20,1855325.738850526,1000,1,0.8,1.0,10.0
6,1857905.2280031233,300,1,1.0,0.75,25.0
