run,cv_mae,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree
12,1691.7718561746988,0.85,3.0,500,3,2,0.03,0.6
17,1706.7866046216118,0.7,3.0,500,5,6,0.015,1.0
1,1706.8375223550452,0.85,10.0,1000,3,2,0.05,1.0
20,1725.2557676016568,0.85,1.0,300,5,5,0.015,0.8
19,1726.9822889213106,0.85,1.0,800,5,3,0.05,0.8
6,1727.8818253482682,0.85,1.0,300,5,5,0.015,1.0
8,1752.5275355327562,0.85,10.0,1000,5,2,0.05,0.8
13,1757.9990281438252,0.85,1.0,300,3,5,0.03,1.0
7,1783.6867987575301,0.85,10.0,1000,1,5,0.015,0.6
2,1786.1838208301956,1.0,3.0,1000,8,2,0.03,0.6
11,1795.6723597515058,1.0,1.0,1000,5,3,0.05,0.6
10,1799.8942665192014,0.7,10.0,300,8,4,0.08,1.0
9,1807.1513012989458,0.85,10.0,1000,5,5,0.08,0.8
5,1822.6876141283888,0.85,1.0,500,8,6,0.08,0.8
15,1839.259837396461,0.85,1.0,800,8,3,0.08,0.8
3,1842.7415509695031,1.0,10.0,800,3,4,0.08,0.8
4,1850.4185864551957,0.85,10.0,300,1,3,0.08,0.8
14,1898.9545310146837,0.7,3.0,800,8,3,0.08,0.6
16,1947.134722091491,1.0,1.0,500,1,2,0.08,0.8
18,1977.3879776920178,1.0,3.0,1000,1,5,0.03,0.6
