variable,value,n,mean_traffic,median_traffic,std_traffic
rainy_day,0,637,18378.475667189952,17816.0,4943.571335435768
rainy_day,1,883,18353.048697621743,17416.0,5280.8796640304645
heavy_rain,0,1427,18412.597757533287,17599.0,5039.95680672797
heavy_rain,1,93,17613.483870967742,16428.0,6479.487158673203
weekend,0,1086,17594.686924493555,16914.0,4950.950726513391
weekend,1,434,20288.020737327188,19726.5,5107.51577367333
is_holiday,0,1405,17964.804982206406,17431.0,4533.71463568655
is_holiday,1,115,23237.217391304348,22711.0,8546.448011321498
eid,0,1480,18075.613513513512,17489.5,4724.620303057813
eid,1,40,29023.075,28478.5,7939.363277407139
