Date,Traffic_East,Traffic_West,Cash_East,Cash_West,Total_Traffic,Total_Cash
01/07/2022,"11,818","11,149","1,11,02,050.00","1,06,36,400.00","22,967","2,17,38,450.00"
02/07/2022,"10,893","10,954","1,04,57,900.00","1,02,98,950.00","21,847","2,07,56,850.00"
03/07/2022,"11,412","11,604","1,10,05,850.00","1,13,91,650.00","23,016","2,23,97,500.00"
04/07/2022,"11,959","12,771","1,13,55,650.00","1,26,24,150.00","24,730","2,39,79,800.00"
05/07/2022,"14,239","13,419","1,31,51,900.00","1,32,17,500.00","27,658","2,63,69,400.00"
06/07/2022,"18,924","15,483","1,25,14,300.00","1,47,18,750.00","34,407","2,72,33,050.00"
07/07/2022,"25,113","18,482","1,73,89,900.00","1,60,17,800.00","43,595","3,34,07,700.00"
08/07/2022,"29,072","12,878","2,05,86,500.00","1,03,19,550.00","41,817","3,09,06,050.00"
09/07/2022,"24,435","10,503","1,94,45,500.00","81,39,450.00","34,934","2,75,84,950.00"
10/07/2022,"6,420","9,760","41,67,350.00","73,29,450.00","16,180","1,14,96,800.00"
11/07/2022,"9,806","7,978","60,75,900.00","48,60,550.00","17,784","1,09,36,450.00"
12/07/2022,"8,566","10,663","57,68,200.00","63,15,000.00","19,229","1,20,83,200.00"
13/07/2022,"9,151","12,229","69,32,550.00","80,71,000.00","21,380","1,50,03,550.00"
14/07/2022,"11,932","16,018","96,33,300.00","1,12,95,850.00","27,950","2,09,29,150.00"
15/07/2022,"13,734","24,693","1,14,25,850.00","1,67,30,600.00","38,427","2,81,56,450.00"
16/07/2022,"14,554","22,668","1,22,04,500.00","1,53,27,950.00","37,222","2,75,32,450.00"
17/07/2022,"13,476","16,521","1,20,11,850.00","1,31,09,750.00","29,997","2,51,21,600.00"
18/07/2022,"11,524","13,443","1,07,00,900.00","1,17,92,000.00","24,967","2,24,92,900.00"
19/07/2022,"11,504","12,144","1,09,32,800.00","1,09,82,100.00","23,648","2,19,14,900.00"
20/07/2022,"10,671","11,385","1,01,70,850.00","1,06,52,650.00","22,056","2,08,23,500.00"
21/07/2022,"10,605","10,820","98,90,550.00","1,00,34,450.00","21,425","1,99,25,000.00"
22/07/2022,"11,707","11,340","1,08,25,050.00","1,01,53,400.00","23,047","2,09,78,450.00"
23/07/2022,"9,693","10,322","89,95,500.00","90,59,800.00","20,015","1,80,55,300.00"
24/07/2022,"9,762","9,839","93,11,800.00","93,74,500.00","19,601","1,86,86,300.00"
25/07/2022,"10,223","10,605","97,97,700.00","1,00,52,700.00","20,828","1,98,50,400.00"
26/07/2022,"10,138","10,796","97,48,300.00","1,03.82,050.00","20,934","2,01,30,350.00"
27/07/2022,"10,214","10,656","1,00,28,500.00","1,03,10,500.00","20,870","2,03,39,000.00"
28/07/2022,"10,332","10,251","95,60,950.00","98,67,400.00","20,583","1,94,28,350.00"
29/07/2022,"10,823","10,473","1,01,29,200.00","97,23,550.00","21,296","1,98,52,750.00"
30/07/2022,"8,996","9,685","84,34,600.00","85,19,250.00","18,681","1,69,53,850.00"
31/07/2022,"9,589","9,421","92,72,150.00","88,75,350.00","19,010","1,81,47,500.00"
01/08/2022,"9,165","8,884","89,41,500.00","86,46,650.00","18,049","1,75,88,150.00"
02/08/2022,"9,210","9,726","89,52,900.00","95,00,500.00","18,936","1,84,53,400.00"
03/08/2022,"9,098","9,746","87,61,400.00","95,08,250.00","18,844","1,82,69,650.00"
04/08/2022,"10,371","9,864","92,74,600.00","94,18,150.00","20,235","1,86,92,750.00"
05/08/2022,"10,492","10,265","95,62,800.00","95,08,800.00","20,757","1,90,71,600.00"
